4,18,1
5,12,1
6,4,0
7,4,0
8,4,0
4,38,1
5,32,2
6,24,0
7,24,0
8,24,0
4,58,1
5,52,2
6,44,0
7,44,1
8,44,0
4,78,1
5,72,2
6,64,0
7,64,0
8,64,0
4,98,1
5,92,2
6,84,0
7,84,0
8,84,0
4,118,1
5,112,2
6,104,0
7,104,0
8,104,0
4,138,1
5,132,2
6,124,1
7,124,0
8,124,1
4,158,1
5,152,2
6,144,0
7,144,0
8,144,0
4,178,1
5,172,2
6,164,0
7,164,0
8,164,0
4,198,1
5,192,2
6,184,0
7,184,0
8,184,0
4,218,1
5,212,2
6,204,2
7,204,0
8,204,0
4,238,1
5,232,2
6,224,4
7,224,0
8,224,0
4,258,1
5,252,2
6,244,4
7,244,0
8,244,0
4,278,1
5,272,2
6,264,4
7,264,0
8,264,0
4,298,1
5,292,2
6,284,4
7,284,0
8,284,0
4,318,1
5,312,2
6,304,4
7,304,0
8,304,1
4,338,1
5,332,2
6,324,4
7,324,0
8,324,0
4,358,1
5,352,2
6,344,4
7,344,0
8,344,0
4,378,1
5,372,2
6,364,4
7,364,0
8,364,0
4,398,1
5,392,2
6,384,4
7,384,0
8,384,0
4,418,1
5,412,2
6,404,4
7,404,0
8,404,0
4,438,1
5,432,2
6,424,4
7,424,4
8,424,0
4,458,1
5,452,2
6,444,4
7,444,4
8,444,0
4,478,1
5,472,2
6,464,4
7,464,4
8,464,0
4,498,1
5,492,2
6,484,4
7,484,4
8,484,0
4,518,1
5,512,2
6,504,4
7,504,4
8,504,1
4,538,1
5,532,2
6,524,4
7,524,4
8,524,0
4,558,1
5,552,2
6,544,4
7,544,4
8,544,0
4,578,1
5,572,2
6,564,4
7,564,4
8,564,0
4,598,1
5,592,2
6,584,4
7,584,4
8,584,0
4,618,1
5,612,2
6,604,4
7,604,4
8,604,0
4,638,1
5,632,2
6,624,4
7,624,4
8,624,3
4,658,1
5,652,2
6,644,4
7,644,4
8,644,4
4,678,1
5,672,2
6,664,4
7,664,4
8,664,4
4,698,1
5,692,2
6,684,4
7,684,4
8,684,4
4,718,1
5,712,2
6,704,4
7,704,4
8,704,4
4,738,1
5,732,2
6,724,4
7,724,4
8,724,4
4,758,1
5,752,2
6,744,4
7,744,4
8,744,4
4,778,1
5,772,2
6,764,4
7,764,4
8,764,4
4,798,1
5,792,2
6,784,4
7,784,4
8,784,4
4,818,1
5,812,2
6,804,4
7,804,4
